"Call ID","Agent Version","Started At","Duration (s)",Status,"Disconnect Reason","Function Calls",Errors,"Has check_availability"
call_9795227316377b0e1ed3a5518d8,51,"2025-10-24 18:23:56",N/A,in_progress,N/A,0,0,No
call_617271eca1ef9f071917051bcc9,48,"2025-10-24 18:16:37",N/A,in_progress,N/A,0,0,No
call_c2984cdd70723acb45063a0b8e4,45,"2025-10-24 18:00:14",N/A,in_progress,N/A,0,0,No
call_e4c2597619640286a9e221eb6c5,42,"2025-10-24 17:42:11",N/A,in_progress,N/A,0,0,No
call_19eb83376279b490a3af1cd72c2,42,"2025-10-24 16:59:08",N/A,in_progress,N/A,0,0,No
call_88009e8172f00934fb22b5b0875,42,"2025-10-24 16:44:03",N/A,in_progress,N/A,0,0,No
call_5ab4a7cba31637bd89df2d001a2,42,"2025-10-24 16:30:22",N/A,in_progress,N/A,0,0,No
call_6a5d5c10545cbe866289bf06dd6,42,"2025-10-24 15:35:26",N/A,in_progress,N/A,0,0,No
call_540c98388a10f7c86babf75ae72,42,"2025-10-24 15:08:04",N/A,in_progress,N/A,0,0,No
call_0af91c71f3f4e29cfa28ec1798d,42,"2025-10-24 14:54:50",N/A,in_progress,N/A,0,0,No
call_66965ee518d8dbde00fdf755bf4,42,"2025-10-24 14:41:31",N/A,in_progress,N/A,0,0,No
call_fd1758069ae2b9f86873facca0d,42,"2025-10-24 13:41:34",N/A,in_progress,N/A,0,0,No
call_e43f7c7fbeed379bd01e0ca2ad3,42,"2025-10-24 13:40:22",N/A,in_progress,N/A,0,0,No
call_34b4828bce0191aef7e174bca69,42,"2025-10-24 13:39:21",N/A,in_progress,N/A,0,0,No
call_61c54fbe7b1a475fbaffa8f6a61,42,"2025-10-24 13:37:16",N/A,in_progress,N/A,0,0,No
call_cde6fd2e7f13498d2c2e6177502,42,"2025-10-24 13:36:26",N/A,in_progress,N/A,0,0,No
test_opcache_cleared,N/A,"2025-10-24 13:30:14",N/A,in_progress,N/A,0,0,No
call_f7688e6424e0c354b7a5ddfa22e,42,"2025-10-24 13:27:33",N/A,in_progress,N/A,0,0,No
call_004b47b19afa5c19d780a91ec2c,42,"2025-10-24 13:17:30",N/A,in_progress,N/A,0,0,No
call_3ca1ee79873bada4a6d48f8503f,42,"2025-10-24 13:17:09",N/A,in_progress,N/A,0,0,No
call_0e15fea1c94de1f7764f4cec091,42,"2025-10-24 12:49:23",N/A,in_progress,N/A,0,0,No
call_796a39adceeb6f2bd6ac1d66536,42,"2025-10-24 12:34:00",N/A,in_progress,N/A,0,0,No
call_b4371f61ae31dcc8ca80db8676b,42,"2025-10-24 12:17:03",N/A,in_progress,N/A,0,0,No
call_4c004b8eaa8c615c691c24b5234,42,"2025-10-24 12:10:58",N/A,in_progress,N/A,0,0,No
call_9fef9506763cd6613615d7cdc6e,42,"2025-10-24 12:01:14",N/A,in_progress,N/A,0,0,No
test_fix_verification_001,42,"2025-10-24 11:54:09",N/A,in_progress,N/A,0,0,No
test_direct_999,N/A,"2025-10-24 11:49:58",N/A,in_progress,N/A,0,0,No
test_999,N/A,"2025-10-24 11:48:35",N/A,in_progress,N/A,0,0,No
call_e4fe2ab2ca5c0b4d778c7ed9eb4,42,"2025-10-24 11:44:44",N/A,in_progress,N/A,0,0,No
test_456,N/A,"2025-10-24 11:42:07",N/A,in_progress,N/A,0,0,No
test_123,N/A,"2025-10-24 11:41:32",N/A,in_progress,N/A,0,0,No
call_a3d98bb4522f6f1e0bfac5964b1,42,"2025-10-24 11:20:37",N/A,in_progress,N/A,0,0,No
call_965e403dd01058ce7d0a25bc9c5,42,"2025-10-24 11:03:19",N/A,in_progress,N/A,0,0,No
call_272b7a111b6506e7390197bf5e6,42,"2025-10-24 10:40:46",N/A,in_progress,N/A,0,0,No
call_ba8634cf1280f153ca7210e1b17,40,"2025-10-24 09:48:27",N/A,in_progress,N/A,0,0,No
call_deec77c00e8d5780076b0a01637,40,"2025-10-24 09:44:44",N/A,in_progress,N/A,0,0,No
call_3a05241482f61de68cbe140f83b,40,"2025-10-24 09:38:53",N/A,in_progress,N/A,0,0,No
call_fae46ddba753dd4ee5d6eba9220,40,"2025-10-24 09:21:42",N/A,in_progress,N/A,0,0,No
call_a8d08d4f09821c1b407c34a1c31,39,"2025-10-24 09:21:17",N/A,in_progress,N/A,0,0,No
call_a9d1d37e5cde21436dc2845a28f,38,"2025-10-24 06:56:24",N/A,in_progress,N/A,0,0,No
call_55f6c3e44a663d9e57a38d80e7b,35,"2025-10-24 06:22:28",74.6,ended,agent_hangup,0,0,No
call_a43ca1cfe849f03275f680d8bad,35,"2025-10-23 23:53:14",38.4,ended,user_hangup,0,0,No
call_06b1e1314e8cfaebdf9577e6da7,29,"2025-10-23 23:15:53",38.3,completed,N/A,1,0,No
call_6be739394e833cfe07a3884d560,26,"2025-10-23 22:58:04",102.1,completed,user_hangup,1,0,No
call_4979abdcf27a98077def2eba918,23,"2025-10-23 22:43:25",71.8,completed,user_hangup,1,0,No
call_4ba49a55bf1f91dbbcc46a95956,23,"2025-10-23 22:26:38",76.8,completed,user_hangup,1,0,No
call_d1e7c6fb6ba4555fcaa9c77b107,21,"2025-10-23 22:11:56",61.6,completed,user_hangup,1,0,No
call_4005c89a073926f35dac11df600,21,"2025-10-23 22:03:45",70.9,completed,user_hangup,1,0,No
demo_call_1761249581,24,"2025-10-23 21:59:41",45,completed,N/A,3,0,No
call_a63004cac331d0e9e5efe97c1d8,21,"2025-10-23 21:58:08",86.2,completed,user_hangup,1,0,No
call_a4c37245d8fa51c3b3449d0cfa6,21,"2025-10-23 19:35:26",84.6,ended,user_hangup,0,0,No
call_d9f8dbf02b6cf2d08a748d0cde5,21,"2025-10-23 19:33:40",101.3,ended,user_hangup,0,0,No
call_d51183036c6958141b9b5cef632,21,"2025-10-23 19:27:26",124.5,ended,user_hangup,0,0,No
call_cf4ade5430757f897cd20e4cec3,24,"2025-10-23 19:19:08",628.7,ended,inactivity,0,0,No
call_784c6885b790aa5cff8eadcac98,21,"2025-10-23 19:19:08",91,ended,user_hangup,0,0,No
call_ff3171af2a40ed5e3872c06c7b4,24,"2025-10-23 18:59:53",129.4,ended,user_hangup,0,0,No
call_bed2bb6f0c526e4e1042cde4a0c,24,"2025-10-23 18:58:39",3.3,ended,user_hangup,0,0,No
call_85b501f4511218473fc0cec15f8,16,"2025-10-23 18:51:16",54.9,ended,user_hangup,0,0,No
call_4adba0de8ba9f8ea160d953212a,12,"2025-10-23 17:53:15",60,ended,user_hangup,0,0,No
call_2ac45a2c9170c5a2ce28a10b7b8,12,"2025-10-23 17:18:25",81.8,ended,user_hangup,0,0,No
call_336ce40c8f5ec4e080a7cc0328b,12,"2025-10-23 17:03:02",67.9,ended,agent_hangup,0,0,No
call_be0a6a6fbf16bb28506586300da,11,"2025-10-23 15:42:20",55.7,ended,agent_hangup,0,0,No
call_c6664235498f27def0806193b0b,6,"2025-10-23 15:19:44",4,ended,user_hangup,0,0,No
call_4f58423ba7149c34eb863650512,4,"2025-10-23 15:04:55",6.8,ended,user_hangup,0,0,No
call_05c04d9aad078e8a9771d9184e7,1,"2025-10-23 15:03:02",6.2,ended,user_hangup,0,0,No
call_e568a320879bb206bebb14780e4,24,"2025-10-23 14:10:15",74.2,ended,user_hangup,0,0,No
call_0e06ce35991516bd9fce33dffad,24,"2025-10-23 07:58:29",46.3,ended,agent_hangup,0,0,No
call_1daa4cf44a51ce1960ae2bee208,24,"2025-10-22 23:11:51",51.4,ended,user_hangup,0,0,No
call_99433009c116f9900c4063e25cf,24,"2025-10-22 23:03:21",50.9,ended,user_hangup,0,0,No
call_7438cce7f79df49978e8149cc58,24,"2025-10-22 22:30:23",110.9,ended,agent_hangup,0,0,No
call_bf0749145c372b68281c2841639,20,"2025-10-22 22:02:26",91.6,ended,agent_hangup,0,0,No
call_91ce617cf9d48b8131af126b938,18,"2025-10-22 21:44:45",107.6,ended,user_hangup,0,0,No
call_21f7a5ed62ec76c0b0a67979701,18,"2025-10-22 21:27:45",76.2,ended,user_hangup,0,0,No
call_fb1866fd8c508082779b139a031,13,"2025-10-22 20:55:01",36.8,ended,user_hangup,0,0,No
call_ce96007613aa37f4f37f57cea35,13,"2025-10-22 20:52:58",91.8,ended,user_hangup,0,0,No
call_4ead7d715a8358fd409817ad2e4,13,"2025-10-22 20:38:02",42.8,ended,user_hangup,0,0,No
